 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-06- 28
Avarai (1 Kg) : ,20.00,2018-06- 28
Amla (1 Kg) : ,126.00,2018-06- 28
Baby corn (1 Kg) : ,79.00,2018-06- 28
Beans (1 Kg) : ,50.00,2018-06- 28
Beetroot (1 Kg) : ,25.00,2018-06- 28
Bittergourd (1 Kg) : ,40.00,2018-06- 28
Brinjal (1 Kg) : ,20.00,2018-06- 28
Brinjal - Big (1 Kg) : ,35.00,2018-06- 28
Brinjal - Green (1 Kg) : ,30.00,2018-06- 28
Butter Beans (1 Kg) : ,60.00,2018-06- 28
Cabbage (1 Kg) : ,08.00,2018-06- 28
Capscicum - Red (1 Kg) :,149.00,2018-06- 28
Capscicum - Green (1 Kg) : ,70.00,2018-06- 28
Carrot (1 Kg) : ,28.00,2018-06- 28
Cauliflower (1 Piece) : ,08.00,2018-06- 28
Chow Chow (1 Kg) : ,15.00,2018-06- 28
Cluster Beans (1 Kg) : ,45.00,2018-06- 28
Coconut (Small) : ,25.00,2018-06- 28
Coconut (Big) : ,35.00,2018-06- 28
Cucumber (1 Kg) : ,29.00,2018-06- 28
Double Beans (1 Kg) : ,170.00,2018-06- 28
Drumstick (1 Kg) : ,28.00,2018-06- 28
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-06- 28
Garlic - Small (Country) (1 Kg) : ,110.00,2018-06- 28
Ginger (1 Kg) : ,120.00,2018-06- 28
Green Peas (1 Kg) : ,60.00,2018-06- 28
Green Chilli (1 Kg) : ,37.00,2018-06- 28
Karunai Kizhangu (1 Kg) : ,49.00,2018-06- 28
Kovakkai (1 Kg) : ,25.00,2018-06- 28
Ladies Fingers (1 Kg) : ,15.00,2018-06- 28
Mango - Raw (1 Kg) : ,35.00,2018-06- 28
Maravalli Kizhangu (1 Kg) : ,39.00,2018-06- 28
Noolkol (1 Kg) : ,25.00,2018-06- 28
Onion - Big (1 Kg) : ,14.00,2018-06- 28
Onion - Small (1 Kg) : ,55.00,2018-06- 28
Onion - White (1 Kg) : ,40.00,2018-06- 28
Peerkankkai (1 Kg) : ,06.00,2018-06- 28
Potato (1 Kg) : ,21.00,2018-06- 28
Potatoes - Baby (1 Kg) : ,59.00,2018-06- 28
Radish (1 Kg) : ,22.00,2018-06- 28
Senaikizhangu (1 Kg) : ,30.00,2018-06- 28
Seppankizhangu (1 Kg) : ,35.00,2018-06- 28
Snake Gourd (1 Kg) : ,15.00,2018-06- 28
Bottle Guard (1 Kg) : ,05.00,2018-06- 28
Tomato - Bangalore (1 Kg) : ,15.00,2018-06- 28
Tomato - Local (1 Kg) : ,15.00,2018-06- 28
Vazhai Poo (1 Piece) : ,20.00,2018-06- 28
Vazhai Thandu (1 Piece) : ,15.00,2018-06- 28
Yellow Pumpkin (1 Kg) : ,05.00,2018-06- 28
