 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-08- 6
Avarai (1 Kg) : ,125.00,2018-08- 6
Amla (1 Kg) : ,45.00,2018-08- 6
Baby corn (1 Kg) : ,80.00,2018-08- 6
Beans (1 Kg) : ,40.00,2018-08- 6
Beetroot (1 Kg) : ,25.00,2018-08- 6
Bittergourd (1 Kg) : ,35.00,2018-08- 6
Brinjal (1 Kg) : ,25.00,2018-08- 6
Brinjal - Big (1 Kg) : ,15.00,2018-08- 6
Brinjal - Green (1 Kg) : ,15.00,2018-08- 6
Butter Beans (1 Kg) : ,60.00,2018-08- 6
Cabbage (1 Kg) : ,08.00,2018-08- 6
Capscicum - Red (1 Kg) :,150.00,2018-08- 6
Capscicum - Green (1 Kg) : ,65.00,2018-08- 6
Carrot (1 Kg) : ,35.00,2018-08- 6
Cauliflower (1 Piece) : ,15.00,2018-08- 6
Chow Chow (1 Kg) : ,40.00,2018-08- 6
Cluster Beans (1 Kg) : ,45.00,2018-08- 6
Coconut (Small) : ,25.00,2018-08- 6
Coconut (Big) : ,35.00,2018-08- 6
Cucumber (1 Kg) : ,30.00,2018-08- 6
Double Beans (1 Kg) : ,170.00,2018-08- 6
Drumstick (1 Kg) : ,18.00,2018-08- 6
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-08- 6
Garlic - Small (Country) (1 Kg) : ,110.00,2018-08- 6
Ginger (1 Kg) : ,120.00,2018-08- 6
Green Peas (1 Kg) : ,60.00,2018-08- 6
Green Chilli (1 Kg) : ,37.00,2018-08- 6
Karunai Kizhangu (1 Kg) : ,50.00,2018-08- 6
Kovakkai (1 Kg) : ,25.00,2018-08- 6
Ladies Fingers (1 Kg) : ,20.00,2018-08- 6
Mango - Raw (1 Kg) : ,30.00,2018-08- 6
Maravalli Kizhangu (1 Kg) : ,40.00,2018-08- 6
Noolkol (1 Kg) : ,25.00,2018-08- 6
Onion - Big (1 Kg) : ,17.00,2018-08- 6
Onion - Small (1 Kg) : ,50.00,2018-08- 6
Onion - White (1 Kg) : ,40.00,2018-08- 6
Peerkankkai (1 Kg) : ,40.00,2018-08- 6
Potato (1 Kg) : ,24.00,2018-08- 6
Potatoes - Baby (1 Kg) : ,55.00,2018-08- 6
Radish (1 Kg) : ,09.00,2018-08- 6
Senaikizhangu (1 Kg) : ,30.00,2018-08- 6
Seppankizhangu (1 Kg) : ,30.00,2018-08- 6
Snake Gourd (1 Kg) : ,25.00,2018-08- 6
Bottle Guard (1 Kg) : ,05.00,2018-08- 6
Tomato - Bangalore (1 Kg) : ,15.00,2018-08- 6
Tomato - Local (1 Kg) : ,15.00,2018-08- 6
Vazhai Poo (1 Piece) : ,20.00,2018-08- 6
Vazhai Thandu (1 Piece) : ,15.00,2018-08- 6
Yellow Pumpkin (1 Kg) : ,05.00,2018-08- 6
