 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-10- 23
Avarai (1 Kg) : ,35.00,2018-10- 23
Amla (1 Kg) : ,125.00,2018-10- 23
Baby corn (1 Kg) : ,80.00,2018-10- 23
Beans (1 Kg) : ,35.00,2018-10- 23
Beetroot (1 Kg) : ,10.00,2018-10- 23
Bittergourd (1 Kg) : ,18.00,2018-10- 23
Brinjal (1 Kg) : ,20.00,2018-10- 23
Brinjal - Big (1 Kg) : ,15.00,2018-10- 23
Brinjal - Green (1 Kg) : ,15.00,2018-10- 23
Butter Beans (1 Kg) : ,60.00,2018-10- 23
Cabbage (1 Kg) : ,10.00,2018-10- 23
Capscicum - Red (1 Kg) :,150.00,2018-10- 23
Capscicum - Green (1 Kg) : ,20.00,2018-10- 23
Carrot (1 Kg) : ,35.00,2018-10- 23
Cauliflower (1 Piece) : ,50.00,2018-10- 23
Chow Chow (1 Kg) : ,35.00,2018-10- 23
Cluster Beans (1 Kg) : ,45.00,2018-10- 23
Coconut (Small) : ,25.00,2018-10- 23
Coconut (Big) : ,35.00,2018-10- 23
Cucumber (1 Kg) : ,30.00,2018-10- 23
Double Beans (1 Kg) : ,170.00,2018-10- 23
Drumstick (1 Kg) : ,45.00,2018-10- 23
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-10- 23
Garlic - Small (Country) (1 Kg) : ,180.00,2018-10- 23
Ginger (1 Kg) : ,72.00,2018-10- 23
Green Peas (1 Kg) : ,60.00,2018-10- 23
Green Chilli (1 Kg) : ,20.00,2018-10- 23
Karunai Kizhangu (1 Kg) : ,50.00,2018-10- 23
Kovakkai (1 Kg) : ,25.00,2018-10- 23
Ladies Fingers (1 Kg) : ,12.00,2018-10- 23
Mango - Raw (1 Kg) : ,33.00,2018-10- 23
Maravalli Kizhangu (1 Kg) : ,40.00,2018-10- 23
Noolkol (1 Kg) : ,25.00,2018-10- 23
Onion - Big (1 Kg) : ,20.00,2018-10- 23
Onion - Small (1 Kg) : ,50.00,2018-10- 23
Onion - White (1 Kg) : ,40.00,2018-10- 23
Peerkankkai (1 Kg) : ,40.00,2018-10- 23
Potato (1 Kg) : ,23.00,2018-10- 23
Potatoes - Baby (1 Kg) : ,55.00,2018-10- 23
Radish (1 Kg) : ,25.00,2018-10- 23
Senaikizhangu (1 Kg) : ,30.00,2018-10- 23
Seppankizhangu (1 Kg) : ,35.00,2018-10- 23
Snake Gourd (1 Kg) : ,12.00,2018-10- 23
Bottle Guard (1 Kg) : ,05.00,2018-10- 23
Tomato - Bangalore (1 Kg) : ,12.00,2018-10- 23
Tomato - Local (1 Kg) : ,15.00,2018-10- 23
Vazhai Poo (1 Piece) : ,20.00,2018-10- 23
Vazhai Thandu (1 Piece) : ,15.00,2018-10- 23
Yellow Pumpkin (1 Kg) : ,05.40,2018-10- 23
