 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-07- 9
Avarai (1 Kg) : ,20.00,2018-07- 9
Amla (1 Kg) : ,126.00,2018-07- 9
Baby corn (1 Kg) : ,79.00,2018-07- 9
Beans (1 Kg) : ,40.00,2018-07- 9
Beetroot (1 Kg) : ,28.00,2018-07- 9
Bittergourd (1 Kg) : ,40.00,2018-07- 9
Brinjal (1 Kg) : ,15.00,2018-07- 9
Brinjal - Big (1 Kg) : ,35.00,2018-07- 9
Brinjal - Green (1 Kg) : ,30.00,2018-07- 9
Butter Beans (1 Kg) : ,60.00,2018-07- 9
Cabbage (1 Kg) : ,08.00,2018-07- 9
Capscicum - Red (1 Kg) :,149.00,2018-07- 9
Capscicum - Green (1 Kg) : ,60.00,2018-07- 9
Carrot (1 Kg) : ,25.00,2018-07- 9
Cauliflower (1 Piece) : ,08.00,2018-07- 9
Chow Chow (1 Kg) : ,15.00,2018-07- 9
Cluster Beans (1 Kg) : ,45.00,2018-07- 9
Coconut (Small) : ,25.00,2018-07- 9
Coconut (Big) : ,35.00,2018-07- 9
Cucumber (1 Kg) : ,29.00,2018-07- 9
Double Beans (1 Kg) : ,170.00,2018-07- 9
Drumstick (1 Kg) : ,45.00,2018-07- 9
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-07- 9
Garlic - Small (Country) (1 Kg) : ,110.00,2018-07- 9
Ginger (1 Kg) : ,120.00,2018-07- 9
Green Peas (1 Kg) : ,60.00,2018-07- 9
Green Chilli (1 Kg) : ,50.00,2018-07- 9
Karunai Kizhangu (1 Kg) : ,49.00,2018-07- 9
Kovakkai (1 Kg) : ,25.00,2018-07- 9
Ladies Fingers (1 Kg) : ,15.00,2018-07- 9
Mango - Raw (1 Kg) : ,35.00,2018-07- 9
Maravalli Kizhangu (1 Kg) : ,39.00,2018-07- 9
Noolkol (1 Kg) : ,25.00,2018-07- 9
Onion - Big (1 Kg) : ,16.00,2018-07- 9
Onion - Small (1 Kg) : ,55.00,2018-07- 9
Onion - White (1 Kg) : ,40.00,2018-07- 9
Peerkankkai (1 Kg) : ,06.00,2018-07- 9
Potato (1 Kg) : ,21.00,2018-07- 9
Potatoes - Baby (1 Kg) : ,59.00,2018-07- 9
Radish (1 Kg) : ,13.00,2018-07- 9
Senaikizhangu (1 Kg) : ,30.00,2018-07- 9
Seppankizhangu (1 Kg) : ,35.00,2018-07- 9
Snake Gourd (1 Kg) : ,20.00,2018-07- 9
Bottle Guard (1 Kg) : ,05.00,2018-07- 9
Tomato - Bangalore (1 Kg) : ,25.00,2018-07- 9
Tomato - Local (1 Kg) : ,25.00,2018-07- 9
Vazhai Poo (1 Piece) : ,20.00,2018-07- 9
Vazhai Thandu (1 Piece) : ,15.00,2018-07- 9
Yellow Pumpkin (1 Kg) : ,05.00,2018-07- 9
