 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-08- 20
Avarai (1 Kg) : ,45.00,2018-08- 20
Amla (1 Kg) : ,125.00,2018-08- 20
Baby corn (1 Kg) : ,80.00,2018-08- 20
Beans (1 Kg) : ,25.00,2018-08- 20
Beetroot (1 Kg) : ,25.00,2018-08- 20
Bittergourd (1 Kg) : ,25.00,2018-08- 20
Brinjal (1 Kg) : ,30.00,2018-08- 20
Brinjal - Big (1 Kg) : ,15.00,2018-08- 20
Brinjal - Green (1 Kg) : ,15.00,2018-08- 20
Butter Beans (1 Kg) : ,60.00,2018-08- 20
Cabbage (1 Kg) : ,10.00,2018-08- 20
Capscicum - Red (1 Kg) :,150.00,2018-08- 20
Capscicum - Green (1 Kg) : ,60.00,2018-08- 20
Carrot (1 Kg) : ,40.00,2018-08- 20
Cauliflower (1 Piece) : ,15.00,2018-08- 20
Chow Chow (1 Kg) : ,40.00,2018-08- 20
Cluster Beans (1 Kg) : ,45.00,2018-08- 20
Coconut (Small) : ,25.00,2018-08- 20
Coconut (Big) : ,35.00,2018-08- 20
Cucumber (1 Kg) : ,30.00,2018-08- 20
Double Beans (1 Kg) : ,170.00,2018-08- 20
Drumstick (1 Kg) : ,20.00,2018-08- 20
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-08- 20
Garlic - Small (Country) (1 Kg) : ,110.00,2018-08- 20
Ginger (1 Kg) : ,120.00,2018-08- 20
Green Peas (1 Kg) : ,60.00,2018-08- 20
Green Chilli (1 Kg) : ,28.00,2018-08- 20
Karunai Kizhangu (1 Kg) : ,50.00,2018-08- 20
Kovakkai (1 Kg) : ,25.00,2018-08- 20
Ladies Fingers (1 Kg) : ,25.00,2018-08- 20
Mango - Raw (1 Kg) : ,30.00,2018-08- 20
Maravalli Kizhangu (1 Kg) : ,40.00,2018-08- 20
Noolkol (1 Kg) : ,25.00,2018-08- 20
Onion - Big (1 Kg) : ,18.00,2018-08- 20
Onion - Small (1 Kg) : ,40.00,2018-08- 20
Onion - White (1 Kg) : ,40.00,2018-08- 20
Peerkankkai (1 Kg) : ,40.00,2018-08- 20
Potato (1 Kg) : ,24.00,2018-08- 20
Potatoes - Baby (1 Kg) : ,55.00,2018-08- 20
Radish (1 Kg) : ,10.00,2018-08- 20
Senaikizhangu (1 Kg) : ,30.00,2018-08- 20
Seppankizhangu (1 Kg) : ,30.00,2018-08- 20
Snake Gourd (1 Kg) : ,20.00,2018-08- 20
Bottle Guard (1 Kg) : ,05.00,2018-08- 20
Tomato - Bangalore (1 Kg) : ,20.00,2018-08- 20
Tomato - Local (1 Kg) : ,16.00,2018-08- 20
Vazhai Poo (1 Piece) : ,20.00,2018-08- 20
Vazhai Thandu (1 Piece) : ,15.00,2018-08- 20
Yellow Pumpkin (1 Kg) : ,05.00,2018-08- 20
