 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-07- 4
Avarai (1 Kg) : ,20.00,2018-07- 4
Amla (1 Kg) : ,126.00,2018-07- 4
Baby corn (1 Kg) : ,79.00,2018-07- 4
Beans (1 Kg) : ,50.00,2018-07- 4
Beetroot (1 Kg) : ,35.00,2018-07- 4
Bittergourd (1 Kg) : ,40.00,2018-07- 4
Brinjal (1 Kg) : ,15.00,2018-07- 4
Brinjal - Big (1 Kg) : ,35.00,2018-07- 4
Brinjal - Green (1 Kg) : ,30.00,2018-07- 4
Butter Beans (1 Kg) : ,60.00,2018-07- 4
Cabbage (1 Kg) : ,08.00,2018-07- 4
Capscicum - Red (1 Kg) :,149.00,2018-07- 4
Capscicum - Green (1 Kg) : ,60.00,2018-07- 4
Carrot (1 Kg) : ,25.00,2018-07- 4
Cauliflower (1 Piece) : ,08.00,2018-07- 4
Chow Chow (1 Kg) : ,15.00,2018-07- 4
Cluster Beans (1 Kg) : ,45.00,2018-07- 4
Coconut (Small) : ,25.00,2018-07- 4
Coconut (Big) : ,35.00,2018-07- 4
Cucumber (1 Kg) : ,29.00,2018-07- 4
Double Beans (1 Kg) : ,170.00,2018-07- 4
Drumstick (1 Kg) : ,42.00,2018-07- 4
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-07- 4
Garlic - Small (Country) (1 Kg) : ,110.00,2018-07- 4
Ginger (1 Kg) : ,120.00,2018-07- 4
Green Peas (1 Kg) : ,60.00,2018-07- 4
Green Chilli (1 Kg) : ,40.00,2018-07- 4
Karunai Kizhangu (1 Kg) : ,49.00,2018-07- 4
Kovakkai (1 Kg) : ,25.00,2018-07- 4
Ladies Fingers (1 Kg) : ,20.00,2018-07- 4
Mango - Raw (1 Kg) : ,35.00,2018-07- 4
Maravalli Kizhangu (1 Kg) : ,39.00,2018-07- 4
Noolkol (1 Kg) : ,25.00,2018-07- 4
Onion - Big (1 Kg) : ,20.00,2018-07- 4
Onion - Small (1 Kg) : ,55.00,2018-07- 4
Onion - White (1 Kg) : ,40.00,2018-07- 4
Peerkankkai (1 Kg) : ,06.00,2018-07- 4
Potato (1 Kg) : ,21.00,2018-07- 4
Potatoes - Baby (1 Kg) : ,59.00,2018-07- 4
Radish (1 Kg) : ,13.00,2018-07- 4
Senaikizhangu (1 Kg) : ,30.00,2018-07- 4
Seppankizhangu (1 Kg) : ,35.00,2018-07- 4
Snake Gourd (1 Kg) : ,18.00,2018-07- 4
Bottle Guard (1 Kg) : ,05.00,2018-07- 4
Tomato - Bangalore (1 Kg) : ,18.00,2018-07- 4
Tomato - Local (1 Kg) : ,25.00,2018-07- 4
Vazhai Poo (1 Piece) : ,20.00,2018-07- 4
Vazhai Thandu (1 Piece) : ,15.00,2018-07- 4
Yellow Pumpkin (1 Kg) : ,05.00,2018-07- 4
