 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-07- 16
Avarai (1 Kg) : ,20.00,2018-07- 16
Amla (1 Kg) : ,126.00,2018-07- 16
Baby corn (1 Kg) : ,79.00,2018-07- 16
Beans (1 Kg) : ,45.00,2018-07- 16
Beetroot (1 Kg) : ,35.00,2018-07- 16
Bittergourd (1 Kg) : ,40.00,2018-07- 16
Brinjal (1 Kg) : ,12.00,2018-07- 16
Brinjal - Big (1 Kg) : ,35.00,2018-07- 16
Brinjal - Green (1 Kg) : ,30.00,2018-07- 16
Butter Beans (1 Kg) : ,60.00,2018-07- 16
Cabbage (1 Kg) : ,08.00,2018-07- 16
Capscicum - Red (1 Kg) :,149.00,2018-07- 16
Capscicum - Green (1 Kg) : ,65.00,2018-07- 16
Carrot (1 Kg) : ,35.00,2018-07- 16
Cauliflower (1 Piece) : ,08.00,2018-07- 16
Chow Chow (1 Kg) : ,15.00,2018-07- 16
Cluster Beans (1 Kg) : ,45.00,2018-07- 16
Coconut (Small) : ,25.00,2018-07- 16
Coconut (Big) : ,35.00,2018-07- 16
Cucumber (1 Kg) : ,29.00,2018-07- 16
Double Beans (1 Kg) : ,170.00,2018-07- 16
Drumstick (1 Kg) : ,23.00,2018-07- 16
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-07- 16
Garlic - Small (Country) (1 Kg) : ,110.00,2018-07- 16
Ginger (1 Kg) : ,120.00,2018-07- 16
Green Peas (1 Kg) : ,60.00,2018-07- 16
Green Chilli (1 Kg) : ,45.00,2018-07- 16
Karunai Kizhangu (1 Kg) : ,49.00,2018-07- 16
Kovakkai (1 Kg) : ,25.00,2018-07- 16
Ladies Fingers (1 Kg) : ,20.00,2018-07- 16
Mango - Raw (1 Kg) : ,35.00,2018-07- 16
Maravalli Kizhangu (1 Kg) : ,39.00,2018-07- 16
Noolkol (1 Kg) : ,25.00,2018-07- 16
Onion - Big (1 Kg) : ,20.00,2018-07- 16
Onion - Small (1 Kg) : ,60.00,2018-07- 16
Onion - White (1 Kg) : ,40.00,2018-07- 16
Peerkankkai (1 Kg) : ,06.00,2018-07- 16
Potato (1 Kg) : ,21.00,2018-07- 16
Potatoes - Baby (1 Kg) : ,59.00,2018-07- 16
Radish (1 Kg) : ,18.00,2018-07- 16
Senaikizhangu (1 Kg) : ,30.00,2018-07- 16
Seppankizhangu (1 Kg) : ,35.00,2018-07- 16
Snake Gourd (1 Kg) : ,13.00,2018-07- 16
Bottle Guard (1 Kg) : ,05.00,2018-07- 16
Tomato - Bangalore (1 Kg) : ,20.00,2018-07- 16
Tomato - Local (1 Kg) : ,20.00,2018-07- 16
Vazhai Poo (1 Piece) : ,20.00,2018-07- 16
Vazhai Thandu (1 Piece) : ,15.00,2018-07- 16
Yellow Pumpkin (1 Kg) : ,05.00,2018-07- 16
