 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-10- 9
Avarai (1 Kg) : ,35.00,2018-10- 9
Amla (1 Kg) : ,125.00,2018-10- 9
Baby corn (1 Kg) : ,80.00,2018-10- 9
Beans (1 Kg) : ,30.00,2018-10- 9
Beetroot (1 Kg) : ,10.00,2018-10- 9
Bittergourd (1 Kg) : ,20.00,2018-10- 9
Brinjal (1 Kg) : ,30.00,2018-10- 9
Brinjal - Big (1 Kg) : ,15.00,2018-10- 9
Brinjal - Green (1 Kg) : ,15.00,2018-10- 9
Butter Beans (1 Kg) : ,60.00,2018-10- 9
Cabbage (1 Kg) : ,8.00,2018-10- 9
Capscicum - Red (1 Kg) :,150.00,2018-10- 9
Capscicum - Green (1 Kg) : ,25.00,2018-10- 9
Carrot (1 Kg) : ,30.00,2018-10- 9
Cauliflower (1 Piece) : ,50.00,2018-10- 9
Chow Chow (1 Kg) : ,35.00,2018-10- 9
Cluster Beans (1 Kg) : ,45.00,2018-10- 9
Coconut (Small) : ,25.00,2018-10- 9
Coconut (Big) : ,35.00,2018-10- 9
Cucumber (1 Kg) : ,30.00,2018-10- 9
Double Beans (1 Kg) : ,170.00,2018-10- 9
Drumstick (1 Kg) : ,35.00,2018-10- 9
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-10- 9
Garlic - Small (Country) (1 Kg) : ,180.00,2018-10- 9
Ginger (1 Kg) : ,72.00,2018-10- 9
Green Peas (1 Kg) : ,60.00,2018-10- 9
Green Chilli (1 Kg) : ,22.00,2018-10- 9
Karunai Kizhangu (1 Kg) : ,50.00,2018-10- 9
Kovakkai (1 Kg) : ,25.00,2018-10- 9
Ladies Fingers (1 Kg) : ,15.00,2018-10- 9
Mango - Raw (1 Kg) : ,33.00,2018-10- 9
Maravalli Kizhangu (1 Kg) : ,40.00,2018-10- 9
Noolkol (1 Kg) : ,25.00,2018-10- 9
Onion - Big (1 Kg) : ,12.00,2018-10- 9
Onion - Small (1 Kg) : ,40.00,2018-10- 9
Onion - White (1 Kg) : ,40.00,2018-10- 9
Peerkankkai (1 Kg) : ,40.00,2018-10- 9
Potato (1 Kg) : ,25.00,2018-10- 9
Potatoes - Baby (1 Kg) : ,55.00,2018-10- 9
Radish (1 Kg) : ,15.00,2018-10- 9
Senaikizhangu (1 Kg) : ,30.00,2018-10- 9
Seppankizhangu (1 Kg) : ,35.00,2018-10- 9
Snake Gourd (1 Kg) : ,12.00,2018-10- 9
Bottle Guard (1 Kg) : ,05.00,2018-10- 9
Tomato - Bangalore (1 Kg) : ,12.00,2018-10- 9
Tomato - Local (1 Kg) : ,14.00,2018-10- 9
Vazhai Poo (1 Piece) : ,20.00,2018-10- 9
Vazhai Thandu (1 Piece) : ,15.00,2018-10- 9
Yellow Pumpkin (1 Kg) : ,05.40,2018-10- 9
