 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-08- 22
Avarai (1 Kg) : ,35.00,2018-08- 22
Amla (1 Kg) : ,125.00,2018-08- 22
Baby corn (1 Kg) : ,80.00,2018-08- 22
Beans (1 Kg) : ,45.00,2018-08- 22
Beetroot (1 Kg) : ,15.00,2018-08- 22
Bittergourd (1 Kg) : ,18.00,2018-08- 22
Brinjal (1 Kg) : ,35.00,2018-08- 22
Brinjal - Big (1 Kg) : ,15.00,2018-08- 22
Brinjal - Green (1 Kg) : ,15.00,2018-08- 22
Butter Beans (1 Kg) : ,60.00,2018-08- 22
Cabbage (1 Kg) : ,07.00,2018-08- 22
Capscicum - Red (1 Kg) :,150.00,2018-08- 22
Capscicum - Green (1 Kg) : ,15.00,2018-08- 22
Carrot (1 Kg) : ,20.00,2018-08- 22
Cauliflower (1 Piece) : ,15.00,2018-08- 22
Chow Chow (1 Kg) : ,35.00,2018-08- 22
Cluster Beans (1 Kg) : ,45.00,2018-08- 22
Coconut (Small) : ,25.00,2018-08- 22
Coconut (Big) : ,35.00,2018-08- 22
Cucumber (1 Kg) : ,30.00,2018-08- 22
Double Beans (1 Kg) : ,170.00,2018-08- 22
Drumstick (1 Kg) : ,24.00,2018-08- 22
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-08- 22
Garlic - Small (Country) (1 Kg) : ,110.00,2018-08- 22
Ginger (1 Kg) : ,60.00,2018-08- 22
Green Peas (1 Kg) : ,60.00,2018-08- 22
Green Chilli (1 Kg) : ,14.00,2018-08- 22
Karunai Kizhangu (1 Kg) : ,50.00,2018-08- 22
Kovakkai (1 Kg) : ,25.00,2018-08- 22
Ladies Fingers (1 Kg) : ,30.00,2018-08- 22
Mango - Raw (1 Kg) : ,30.00,2018-08- 22
Maravalli Kizhangu (1 Kg) : ,40.00,2018-08- 22
Noolkol (1 Kg) : ,25.00,2018-08- 22
Onion - Big (1 Kg) : ,17.00,2018-08- 22
Onion - Small (1 Kg) : ,40.00,2018-08- 22
Onion - White (1 Kg) : ,40.00,2018-08- 22
Peerkankkai (1 Kg) : ,40.00,2018-08- 22
Potato (1 Kg) : ,24.00,2018-08- 22
Potatoes - Baby (1 Kg) : ,55.00,2018-08- 22
Radish (1 Kg) : ,10.00,2018-08- 22
Senaikizhangu (1 Kg) : ,30.00,2018-08- 22
Seppankizhangu (1 Kg) : ,35.00,2018-08- 22
Snake Gourd (1 Kg) : ,20.00,2018-08- 22
Bottle Guard (1 Kg) : ,05.00,2018-08- 22
Tomato - Bangalore (1 Kg) : ,15.00,2018-08- 22
Tomato - Local (1 Kg) : ,12.00,2018-08- 22
Vazhai Poo (1 Piece) : ,20.00,2018-08- 22
Vazhai Thandu (1 Piece) : ,15.00,2018-08- 22
Yellow Pumpkin (1 Kg) : ,05.00,2018-08- 22
