 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-07- 12
Avarai (1 Kg) : ,20.00,2018-07- 12
Amla (1 Kg) : ,126.00,2018-07- 12
Baby corn (1 Kg) : ,79.00,2018-07- 12
Beans (1 Kg) : ,40.00,2018-07- 12
Beetroot (1 Kg) : ,35.00,2018-07- 12
Bittergourd (1 Kg) : ,35.00,2018-07- 12
Brinjal (1 Kg) : ,15.00,2018-07- 12
Brinjal - Big (1 Kg) : ,35.00,2018-07- 12
Brinjal - Green (1 Kg) : ,30.00,2018-07- 12
Butter Beans (1 Kg) : ,60.00,2018-07- 12
Cabbage (1 Kg) : ,08.00,2018-07- 12
Capscicum - Red (1 Kg) :,149.00,2018-07- 12
Capscicum - Green (1 Kg) : ,70.00,2018-07- 12
Carrot (1 Kg) : ,30.00,2018-07- 12
Cauliflower (1 Piece) : ,08.00,2018-07- 12
Chow Chow (1 Kg) : ,15.00,2018-07- 12
Cluster Beans (1 Kg) : ,45.00,2018-07- 12
Coconut (Small) : ,25.00,2018-07- 12
Coconut (Big) : ,35.00,2018-07- 12
Cucumber (1 Kg) : ,29.00,2018-07- 12
Double Beans (1 Kg) : ,170.00,2018-07- 12
Drumstick (1 Kg) : ,30.00,2018-07- 12
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-07- 12
Garlic - Small (Country) (1 Kg) : ,110.00,2018-07- 12
Ginger (1 Kg) : ,120.00,2018-07- 12
Green Peas (1 Kg) : ,60.00,2018-07- 12
Green Chilli (1 Kg) : ,40.00,2018-07- 12
Karunai Kizhangu (1 Kg) : ,49.00,2018-07- 12
Kovakkai (1 Kg) : ,25.00,2018-07- 12
Ladies Fingers (1 Kg) : ,20.00,2018-07- 12
Mango - Raw (1 Kg) : ,35.00,2018-07- 12
Maravalli Kizhangu (1 Kg) : ,39.00,2018-07- 12
Noolkol (1 Kg) : ,25.00,2018-07- 12
Onion - Big (1 Kg) : ,20.00,2018-07- 12
Onion - Small (1 Kg) : ,60.00,2018-07- 12
Onion - White (1 Kg) : ,40.00,2018-07- 12
Peerkankkai (1 Kg) : ,06.00,2018-07- 12
Potato (1 Kg) : ,21.00,2018-07- 12
Potatoes - Baby (1 Kg) : ,59.00,2018-07- 12
Radish (1 Kg) : ,18.00,2018-07- 12
Senaikizhangu (1 Kg) : ,30.00,2018-07- 12
Seppankizhangu (1 Kg) : ,35.00,2018-07- 12
Snake Gourd (1 Kg) : ,12.00,2018-07- 12
Bottle Guard (1 Kg) : ,05.00,2018-07- 12
Tomato - Bangalore (1 Kg) : ,22.00,2018-07- 12
Tomato - Local (1 Kg) : ,20.00,2018-07- 12
Vazhai Poo (1 Piece) : ,20.00,2018-07- 12
Vazhai Thandu (1 Piece) : ,15.00,2018-07- 12
Yellow Pumpkin (1 Kg) : ,05.00,2018-07- 12
