 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-07- 3
Avarai (1 Kg) : ,20.00,2018-07- 3
Amla (1 Kg) : ,126.00,2018-07- 3
Baby corn (1 Kg) : ,79.00,2018-07- 3
Beans (1 Kg) : ,50.00,2018-07- 3
Beetroot (1 Kg) : ,30.00,2018-07- 3
Bittergourd (1 Kg) : ,40.00,2018-07- 3
Brinjal (1 Kg) : ,15.00,2018-07- 3
Brinjal - Big (1 Kg) : ,35.00,2018-07- 3
Brinjal - Green (1 Kg) : ,30.00,2018-07- 3
Butter Beans (1 Kg) : ,60.00,2018-07- 3
Cabbage (1 Kg) : ,07.00,2018-07- 3
Capscicum - Red (1 Kg) :,149.00,2018-07- 3
Capscicum - Green (1 Kg) : ,55.00,2018-07- 3
Carrot (1 Kg) : ,25.00,2018-07- 3
Cauliflower (1 Piece) : ,08.00,2018-07- 3
Chow Chow (1 Kg) : ,15.00,2018-07- 3
Cluster Beans (1 Kg) : ,45.00,2018-07- 3
Coconut (Small) : ,25.00,2018-07- 3
Coconut (Big) : ,35.00,2018-07- 3
Cucumber (1 Kg) : ,29.00,2018-07- 3
Double Beans (1 Kg) : ,170.00,2018-07- 3
Drumstick (1 Kg) : ,35.00,2018-07- 3
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-07- 3
Garlic - Small (Country) (1 Kg) : ,110.00,2018-07- 3
Ginger (1 Kg) : ,120.00,2018-07- 3
Green Peas (1 Kg) : ,60.00,2018-07- 3
Green Chilli (1 Kg) : ,55.00,2018-07- 3
Karunai Kizhangu (1 Kg) : ,49.00,2018-07- 3
Kovakkai (1 Kg) : ,25.00,2018-07- 3
Ladies Fingers (1 Kg) : ,15.00,2018-07- 3
Mango - Raw (1 Kg) : ,35.00,2018-07- 3
Maravalli Kizhangu (1 Kg) : ,39.00,2018-07- 3
Noolkol (1 Kg) : ,25.00,2018-07- 3
Onion - Big (1 Kg) : ,20.00,2018-07- 3
Onion - Small (1 Kg) : ,55.00,2018-07- 3
Onion - White (1 Kg) : ,40.00,2018-07- 3
Peerkankkai (1 Kg) : ,06.00,2018-07- 3
Potato (1 Kg) : ,21.00,2018-07- 3
Potatoes - Baby (1 Kg) : ,59.00,2018-07- 3
Radish (1 Kg) : ,15.00,2018-07- 3
Senaikizhangu (1 Kg) : ,30.00,2018-07- 3
Seppankizhangu (1 Kg) : ,35.00,2018-07- 3
Snake Gourd (1 Kg) : ,15.00,2018-07- 3
Bottle Guard (1 Kg) : ,05.00,2018-07- 3
Tomato - Bangalore (1 Kg) : ,18.00,2018-07- 3
Tomato - Local (1 Kg) : ,15.00,2018-07- 3
Vazhai Poo (1 Piece) : ,20.00,2018-07- 3
Vazhai Thandu (1 Piece) : ,15.00,2018-07- 3
Yellow Pumpkin (1 Kg) : ,05.00,2018-07- 3
