 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-06- 19
Avarai (1 Kg) : ,20.00,2018-06- 19
Amla (1 Kg) : ,126.00,2018-06- 19
Baby corn (1 Kg) : ,79.00,2018-06- 19
Beans (1 Kg) : ,60.00,2018-06- 19
Beetroot (1 Kg) : ,20.00,2018-06- 19
Bittergourd (1 Kg) : ,40.00,2018-06- 19
Brinjal (1 Kg) : ,20.00,2018-06- 19
Brinjal - Big (1 Kg) : ,35.00,2018-06- 19
Brinjal - Green (1 Kg) : ,30.00,2018-06- 19
Butter Beans (1 Kg) : ,60.00,2018-06- 19
Cabbage (1 Kg) : ,07.00,2018-06- 19
Capscicum - Red (1 Kg) :,149.00,2018-06- 19
Capscicum - Green (1 Kg) : ,65.00,2018-06- 19
Carrot (1 Kg) : ,18.00,2018-06- 19
Cauliflower (1 Piece) : ,08.00,2018-06- 19
Chow Chow (1 Kg) : ,15.00,2018-06- 19
Cluster Beans (1 Kg) : ,45.00,2018-06- 19
Coconut (Small) : ,25.00,2018-06- 19
Coconut (Big) : ,35.00,2018-06- 19
Cucumber (1 Kg) : ,29.00,2018-06- 19
Double Beans (1 Kg) : ,170.00,2018-06- 19
Drumstick (1 Kg) : ,25.00,2018-06- 19
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-06- 19
Garlic - Small (Country) (1 Kg) : ,110.00,2018-06- 19
Ginger (1 Kg) : ,120.00,2018-06- 19
Green Peas (1 Kg) : ,60.00,2018-06- 19
Green Chilli (1 Kg) : ,35.00,2018-06- 19
Karunai Kizhangu (1 Kg) : ,49.00,2018-06- 19
Kovakkai (1 Kg) : ,25.00,2018-06- 19
Ladies Fingers (1 Kg) : ,15.00,2018-06- 19
Mango - Raw (1 Kg) : ,35.00,2018-06- 19
Maravalli Kizhangu (1 Kg) : ,39.00,2018-06- 19
Noolkol (1 Kg) : ,25.00,2018-06- 19
Onion - Big (1 Kg) : ,16.00,2018-06- 19
Onion - Small (1 Kg) : ,50.00,2018-06- 19
Onion - White (1 Kg) : ,40.00,2018-06- 19
Peerkankkai (1 Kg) : ,06.00,2018-06- 19
Potato (1 Kg) : ,21.00,2018-06- 19
Potatoes - Baby (1 Kg) : ,59.00,2018-06- 19
Radish (1 Kg) : ,25.00,2018-06- 19
Senaikizhangu (1 Kg) : ,30.00,2018-06- 19
Seppankizhangu (1 Kg) : ,35.00,2018-06- 19
Snake Gourd (1 Kg) : ,12.00,2018-06- 19
Bottle Guard (1 Kg) : ,05.00,2018-06- 19
Tomato - Bangalore (1 Kg) : ,15.00,2018-06- 19
Tomato - Local (1 Kg) : ,20.00,2018-06- 19
Vazhai Poo (1 Piece) : ,20.00,2018-06- 19
Vazhai Thandu (1 Piece) : ,15.00,2018-06- 19
Yellow Pumpkin (1 Kg) : ,05.00,2018-06- 19
