 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-08- 1
Avarai (1 Kg) : ,125.00,2018-08- 1
Amla (1 Kg) : ,45.00,2018-08- 1
Baby corn (1 Kg) : ,80.00,2018-08- 1
Beans (1 Kg) : ,40.00,2018-08- 1
Beetroot (1 Kg) : ,35.00,2018-08- 1
Bittergourd (1 Kg) : ,25.00,2018-08- 1
Brinjal (1 Kg) : ,30.00,2018-08- 1
Brinjal - Big (1 Kg) : ,15.00,2018-08- 1
Brinjal - Green (1 Kg) : ,15.00,2018-08- 1
Butter Beans (1 Kg) : ,60.00,2018-08- 1
Cabbage (1 Kg) : ,08.00,2018-08- 1
Capscicum - Red (1 Kg) :,150.00,2018-08- 1
Capscicum - Green (1 Kg) : ,60.00,2018-08- 1
Carrot (1 Kg) : ,45.00,2018-08- 1
Cauliflower (1 Piece) : ,15.00,2018-08- 1
Chow Chow (1 Kg) : ,40.00,2018-08- 1
Cluster Beans (1 Kg) : ,45.00,2018-08- 1
Coconut (Small) : ,25.00,2018-08- 1
Coconut (Big) : ,35.00,2018-08- 1
Cucumber (1 Kg) : ,30.00,2018-08- 1
Double Beans (1 Kg) : ,170.00,2018-08- 1
Drumstick (1 Kg) : ,20.00,2018-08- 1
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-08- 1
Garlic - Small (Country) (1 Kg) : ,110.00,2018-08- 1
Ginger (1 Kg) : ,120.00,2018-08- 1
Green Peas (1 Kg) : ,60.00,2018-08- 1
Green Chilli (1 Kg) : ,40.00,2018-08- 1
Karunai Kizhangu (1 Kg) : ,50.00,2018-08- 1
Kovakkai (1 Kg) : ,25.00,2018-08- 1
Ladies Fingers (1 Kg) : ,25.00,2018-08- 1
Mango - Raw (1 Kg) : ,30.00,2018-08- 1
Maravalli Kizhangu (1 Kg) : ,40.00,2018-08- 1
Noolkol (1 Kg) : ,25.00,2018-08- 1
Onion - Big (1 Kg) : ,16.00,2018-08- 1
Onion - Small (1 Kg) : ,55.00,2018-08- 1
Onion - White (1 Kg) : ,40.00,2018-08- 1
Peerkankkai (1 Kg) : ,40.00,2018-08- 1
Potato (1 Kg) : ,25.00,2018-08- 1
Potatoes - Baby (1 Kg) : ,55.00,2018-08- 1
Radish (1 Kg) : ,08.00,2018-08- 1
Senaikizhangu (1 Kg) : ,30.00,2018-08- 1
Seppankizhangu (1 Kg) : ,30.00,2018-08- 1
Snake Gourd (1 Kg) : ,20.00,2018-08- 1
Bottle Guard (1 Kg) : ,05.00,2018-08- 1
Tomato - Bangalore (1 Kg) : ,12.00,2018-08- 1
Tomato - Local (1 Kg) : ,15.00,2018-08- 1
Vazhai Poo (1 Piece) : ,20.00,2018-08- 1
Vazhai Thandu (1 Piece) : ,15.00,2018-08- 1
Yellow Pumpkin (1 Kg) : ,05.00,2018-08- 1
