 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),13-06-2018
Avarai (1 Kg) : ,20.00,13-06-2018
Amla (1 Kg) : ,126.00,13-06-2018
Baby corn (1 Kg) : ,79.00,13-06-2018
Beans (1 Kg) : ,80.00,13-06-2018
Beetroot (1 Kg) : ,25.00,13-06-2018
Bittergourd (1 Kg) : ,35.00,13-06-2018
Brinjal (1 Kg) : ,20.00,13-06-2018
Brinjal - Big (1 Kg) : ,35.00,13-06-2018
Brinjal - Green (1 Kg) : ,30.00,13-06-2018
Butter Beans (1 Kg) : ,60.00,13-06-2018
Cabbage (1 Kg) : ,07.00,13-06-2018
Capscicum - Red (1 Kg) :,149.00,13-06-2018
Capscicum - Green (1 Kg) : ,45.00,13-06-2018
Carrot (1 Kg) : ,26.00,13-06-2018
Cauliflower (1 Piece) : ,08.00,13-06-2018
Chow Chow (1 Kg) : ,15.00,13-06-2018
Cluster Beans (1 Kg) : ,45.00,13-06-2018
Coconut (Small) : ,25.00,13-06-2018
Coconut (Big) : ,35.00,13-06-2018
Cucumber (1 Kg) : ,29.00,13-06-2018
Double Beans (1 Kg) : ,170.00,13-06-2018
Drumstick (1 Kg) : ,25.00,13-06-2018
Garlic - Big (Hills) (1 Kg) : ,120.00,13-06-2018
Garlic - Small (Country) (1 Kg) : ,110.00,13-06-2018
Ginger (1 Kg) : ,120.00,13-06-2018
Green Peas (1 Kg) : ,60.00,13-06-2018
Green Chilli (1 Kg) : ,25.00,13-06-2018
Karunai Kizhangu (1 Kg) : ,49.00,13-06-2018
Kovakkai (1 Kg) : ,25.00,13-06-2018
Ladies Fingers (1 Kg) : ,20.00,13-06-2018
Mango - Raw (1 Kg) : ,35.00,13-06-2018
Maravalli Kizhangu (1 Kg) : ,39.00,13-06-2018
Noolkol (1 Kg) : ,25.00,13-06-2018
Onion - Big (1 Kg) : ,16.00,13-06-2018
Onion - Small (1 Kg) : ,30.00,13-06-2018
Onion - White (1 Kg) : ,40.00,13-06-2018
Peerkankkai (1 Kg) : ,06.00,13-06-2018
Potato (1 Kg) : ,20.00,13-06-2018
Potatoes - Baby (1 Kg) : ,59.00,13-06-2018
Radish (1 Kg) : ,20.00,13-06-2018
Senaikizhangu (1 Kg) : ,30.00,13-06-2018
Seppankizhangu (1 Kg) : ,35.00,13-06-2018
Snake Gourd (1 Kg) : ,15.00,13-06-2018
Bottle Guard (1 Kg) : ,05.00,13-06-2018
Tomato - Bangalore (1 Kg) : ,12.00,13-06-2018
Tomato - Local (1 Kg) : ,15.00,13-06-2018
Vazhai Poo (1 Piece) : ,20.00,13-06-2018
Vazhai Thandu (1 Piece) : ,15.00,13-06-2018
Yellow Pumpkin (1 Kg) : ,05.00,13-06-2018
