 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-07- 22
Avarai (1 Kg) : ,20.00,2018-07- 22
Amla (1 Kg) : ,126.00,2018-07- 22
Baby corn (1 Kg) : ,79.00,2018-07- 22
Beans (1 Kg) : ,60.00,2018-07- 22
Beetroot (1 Kg) : ,35.00,2018-07- 22
Bittergourd (1 Kg) : ,40.00,2018-07- 22
Brinjal (1 Kg) : ,18.00,2018-07- 22
Brinjal - Big (1 Kg) : ,35.00,2018-07- 22
Brinjal - Green (1 Kg) : ,30.00,2018-07- 22
Butter Beans (1 Kg) : ,60.00,2018-07- 22
Cabbage (1 Kg) : ,08.00,2018-07- 22
Capscicum - Red (1 Kg) :,149.00,2018-07- 22
Capscicum - Green (1 Kg) : ,80.00,2018-07- 22
Carrot (1 Kg) : ,30.00,2018-07- 22
Cauliflower (1 Piece) : ,08.00,2018-07- 22
Chow Chow (1 Kg) : ,15.00,2018-07- 22
Cluster Beans (1 Kg) : ,45.00,2018-07- 22
Coconut (Small) : ,25.00,2018-07- 22
Coconut (Big) : ,35.00,2018-07- 22
Cucumber (1 Kg) : ,29.00,2018-07- 22
Double Beans (1 Kg) : ,170.00,2018-07- 22
Drumstick (1 Kg) : ,25.00,2018-07- 22
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-07- 22
Garlic - Small (Country) (1 Kg) : ,110.00,2018-07- 22
Ginger (1 Kg) : ,120.00,2018-07- 22
Green Peas (1 Kg) : ,60.00,2018-07- 22
Green Chilli (1 Kg) : ,70.00,2018-07- 22
Karunai Kizhangu (1 Kg) : ,49.00,2018-07- 22
Kovakkai (1 Kg) : ,25.00,2018-07- 22
Ladies Fingers (1 Kg) : ,20.00,2018-07- 22
Mango - Raw (1 Kg) : ,35.00,2018-07- 22
Maravalli Kizhangu (1 Kg) : ,39.00,2018-07- 22
Noolkol (1 Kg) : ,30.00,2018-07- 22
Onion - Big (1 Kg) : ,19.00,2018-07- 22
Onion - Small (1 Kg) : ,65.00,2018-07- 22
Onion - White (1 Kg) : ,40.00,2018-07- 22
Peerkankkai (1 Kg) : ,06.00,2018-07- 22
Potato (1 Kg) : ,21.00,2018-07- 22
Potatoes - Baby (1 Kg) : ,59.00,2018-07- 22
Radish (1 Kg) : ,15.00,2018-07- 22
Senaikizhangu (1 Kg) : ,30.00,2018-07- 22
Seppankizhangu (1 Kg) : ,35.00,2018-07- 22
Snake Gourd (1 Kg) : ,15.00,2018-07- 22
Bottle Guard (1 Kg) : ,05.00,2018-07- 22
Tomato - Bangalore (1 Kg) : ,30.00,2018-07- 22
Tomato - Local (1 Kg) : ,25.00,2018-07- 22
Vazhai Poo (1 Piece) : ,20.00,2018-07- 22
Vazhai Thandu (1 Piece) : ,15.00,2018-07- 22
Yellow Pumpkin (1 Kg) : ,05.00,2018-07- 22
