 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-07- 8
Avarai (1 Kg) : ,20.00,2018-07- 8
Amla (1 Kg) : ,126.00,2018-07- 8
Baby corn (1 Kg) : ,79.00,2018-07- 8
Beans (1 Kg) : ,40.00,2018-07- 8
Beetroot (1 Kg) : ,28.00,2018-07- 8
Bittergourd (1 Kg) : ,40.00,2018-07- 8
Brinjal (1 Kg) : ,15.00,2018-07- 8
Brinjal - Big (1 Kg) : ,35.00,2018-07- 8
Brinjal - Green (1 Kg) : ,30.00,2018-07- 8
Butter Beans (1 Kg) : ,60.00,2018-07- 8
Cabbage (1 Kg) : ,08.00,2018-07- 8
Capscicum - Red (1 Kg) :,149.00,2018-07- 8
Capscicum - Green (1 Kg) : ,60.00,2018-07- 8
Carrot (1 Kg) : ,25.00,2018-07- 8
Cauliflower (1 Piece) : ,08.00,2018-07- 8
Chow Chow (1 Kg) : ,15.00,2018-07- 8
Cluster Beans (1 Kg) : ,45.00,2018-07- 8
Coconut (Small) : ,25.00,2018-07- 8
Coconut (Big) : ,35.00,2018-07- 8
Cucumber (1 Kg) : ,29.00,2018-07- 8
Double Beans (1 Kg) : ,170.00,2018-07- 8
Drumstick (1 Kg) : ,45.00,2018-07- 8
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-07- 8
Garlic - Small (Country) (1 Kg) : ,110.00,2018-07- 8
Ginger (1 Kg) : ,120.00,2018-07- 8
Green Peas (1 Kg) : ,60.00,2018-07- 8
Green Chilli (1 Kg) : ,50.00,2018-07- 8
Karunai Kizhangu (1 Kg) : ,49.00,2018-07- 8
Kovakkai (1 Kg) : ,25.00,2018-07- 8
Ladies Fingers (1 Kg) : ,15.00,2018-07- 8
Mango - Raw (1 Kg) : ,35.00,2018-07- 8
Maravalli Kizhangu (1 Kg) : ,39.00,2018-07- 8
Noolkol (1 Kg) : ,25.00,2018-07- 8
Onion - Big (1 Kg) : ,16.00,2018-07- 8
Onion - Small (1 Kg) : ,55.00,2018-07- 8
Onion - White (1 Kg) : ,40.00,2018-07- 8
Peerkankkai (1 Kg) : ,06.00,2018-07- 8
Potato (1 Kg) : ,21.00,2018-07- 8
Potatoes - Baby (1 Kg) : ,59.00,2018-07- 8
Radish (1 Kg) : ,13.00,2018-07- 8
Senaikizhangu (1 Kg) : ,30.00,2018-07- 8
Seppankizhangu (1 Kg) : ,35.00,2018-07- 8
Snake Gourd (1 Kg) : ,20.00,2018-07- 8
Bottle Guard (1 Kg) : ,05.00,2018-07- 8
Tomato - Bangalore (1 Kg) : ,25.00,2018-07- 8
Tomato - Local (1 Kg) : ,25.00,2018-07- 8
Vazhai Poo (1 Piece) : ,20.00,2018-07- 8
Vazhai Thandu (1 Piece) : ,15.00,2018-07- 8
Yellow Pumpkin (1 Kg) : ,05.00,2018-07- 8
