 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-07- 7
Avarai (1 Kg) : ,20.00,2018-07- 7
Amla (1 Kg) : ,126.00,2018-07- 7
Baby corn (1 Kg) : ,79.00,2018-07- 7
Beans (1 Kg) : ,40.00,2018-07- 7
Beetroot (1 Kg) : ,28.00,2018-07- 7
Bittergourd (1 Kg) : ,40.00,2018-07- 7
Brinjal (1 Kg) : ,15.00,2018-07- 7
Brinjal - Big (1 Kg) : ,35.00,2018-07- 7
Brinjal - Green (1 Kg) : ,30.00,2018-07- 7
Butter Beans (1 Kg) : ,60.00,2018-07- 7
Cabbage (1 Kg) : ,08.00,2018-07- 7
Capscicum - Red (1 Kg) :,149.00,2018-07- 7
Capscicum - Green (1 Kg) : ,60.00,2018-07- 7
Carrot (1 Kg) : ,25.00,2018-07- 7
Cauliflower (1 Piece) : ,08.00,2018-07- 7
Chow Chow (1 Kg) : ,15.00,2018-07- 7
Cluster Beans (1 Kg) : ,45.00,2018-07- 7
Coconut (Small) : ,25.00,2018-07- 7
Coconut (Big) : ,35.00,2018-07- 7
Cucumber (1 Kg) : ,29.00,2018-07- 7
Double Beans (1 Kg) : ,170.00,2018-07- 7
Drumstick (1 Kg) : ,45.00,2018-07- 7
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-07- 7
Garlic - Small (Country) (1 Kg) : ,110.00,2018-07- 7
Ginger (1 Kg) : ,120.00,2018-07- 7
Green Peas (1 Kg) : ,60.00,2018-07- 7
Green Chilli (1 Kg) : ,50.00,2018-07- 7
Karunai Kizhangu (1 Kg) : ,49.00,2018-07- 7
Kovakkai (1 Kg) : ,25.00,2018-07- 7
Ladies Fingers (1 Kg) : ,15.00,2018-07- 7
Mango - Raw (1 Kg) : ,35.00,2018-07- 7
Maravalli Kizhangu (1 Kg) : ,39.00,2018-07- 7
Noolkol (1 Kg) : ,25.00,2018-07- 7
Onion - Big (1 Kg) : ,16.00,2018-07- 7
Onion - Small (1 Kg) : ,55.00,2018-07- 7
Onion - White (1 Kg) : ,40.00,2018-07- 7
Peerkankkai (1 Kg) : ,06.00,2018-07- 7
Potato (1 Kg) : ,21.00,2018-07- 7
Potatoes - Baby (1 Kg) : ,59.00,2018-07- 7
Radish (1 Kg) : ,13.00,2018-07- 7
Senaikizhangu (1 Kg) : ,30.00,2018-07- 7
Seppankizhangu (1 Kg) : ,35.00,2018-07- 7
Snake Gourd (1 Kg) : ,20.00,2018-07- 7
Bottle Guard (1 Kg) : ,05.00,2018-07- 7
Tomato - Bangalore (1 Kg) : ,25.00,2018-07- 7
Tomato - Local (1 Kg) : ,25.00,2018-07- 7
Vazhai Poo (1 Piece) : ,20.00,2018-07- 7
Vazhai Thandu (1 Piece) : ,15.00,2018-07- 7
Yellow Pumpkin (1 Kg) : ,05.00,2018-07- 7
