 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-07- 24
Avarai (1 Kg) : ,20.00,2018-07- 24
Amla (1 Kg) : ,126.00,2018-07- 24
Baby corn (1 Kg) : ,79.00,2018-07- 24
Beans (1 Kg) : ,60.00,2018-07- 24
Beetroot (1 Kg) : ,30.00,2018-07- 24
Bittergourd (1 Kg) : ,40.00,2018-07- 24
Brinjal (1 Kg) : ,25.00,2018-07- 24
Brinjal - Big (1 Kg) : ,35.00,2018-07- 24
Brinjal - Green (1 Kg) : ,30.00,2018-07- 24
Butter Beans (1 Kg) : ,60.00,2018-07- 24
Cabbage (1 Kg) : ,08.00,2018-07- 24
Capscicum - Red (1 Kg) :,149.00,2018-07- 24
Capscicum - Green (1 Kg) : ,90.00,2018-07- 24
Carrot (1 Kg) : ,30.00,2018-07- 24
Cauliflower (1 Piece) : ,08.00,2018-07- 24
Chow Chow (1 Kg) : ,15.00,2018-07- 24
Cluster Beans (1 Kg) : ,50.00,2018-07- 24
Coconut (Small) : ,25.00,2018-07- 24
Coconut (Big) : ,35.00,2018-07- 24
Cucumber (1 Kg) : ,29.00,2018-07- 24
Double Beans (1 Kg) : ,170.00,2018-07- 24
Drumstick (1 Kg) : ,20.00,2018-07- 24
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-07- 24
Garlic - Small (Country) (1 Kg) : ,110.00,2018-07- 24
Ginger (1 Kg) : ,120.00,2018-07- 24
Green Peas (1 Kg) : ,60.00,2018-07- 24
Green Chilli (1 Kg) : ,40.00,2018-07- 24
Karunai Kizhangu (1 Kg) : ,49.00,2018-07- 24
Kovakkai (1 Kg) : ,25.00,2018-07- 24
Ladies Fingers (1 Kg) : ,20.00,2018-07- 24
Mango - Raw (1 Kg) : ,35.00,2018-07- 24
Maravalli Kizhangu (1 Kg) : ,39.00,2018-07- 24
Noolkol (1 Kg) : ,30.00,2018-07- 24
Onion - Big (1 Kg) : ,20.00,2018-07- 24
Onion - Small (1 Kg) : ,65.00,2018-07- 24
Onion - White (1 Kg) : ,40.00,2018-07- 24
Peerkankkai (1 Kg) : ,06.00,2018-07- 24
Potato (1 Kg) : ,22.00,2018-07- 24
Potatoes - Baby (1 Kg) : ,59.00,2018-07- 24
Radish (1 Kg) : ,12.00,2018-07- 24
Senaikizhangu (1 Kg) : ,30.00,2018-07- 24
Seppankizhangu (1 Kg) : ,35.00,2018-07- 24
Snake Gourd (1 Kg) : ,15.00,2018-07- 24
Bottle Guard (1 Kg) : ,05.00,2018-07- 24
Tomato - Bangalore (1 Kg) : ,25.00,2018-07- 24
Tomato - Local (1 Kg) : ,25.00,2018-07- 24
Vazhai Poo (1 Piece) : ,20.00,2018-07- 24
Vazhai Thandu (1 Piece) : ,15.00,2018-07- 24
Yellow Pumpkin (1 Kg) : ,05.00,2018-07- 24
