 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-08- 25
Avarai (1 Kg) : ,35.00,2018-08- 25
Amla (1 Kg) : ,125.00,2018-08- 25
Baby corn (1 Kg) : ,80.00,2018-08- 25
Beans (1 Kg) : ,45.00,2018-08- 25
Beetroot (1 Kg) : ,15.00,2018-08- 25
Bittergourd (1 Kg) : ,18.00,2018-08- 25
Brinjal (1 Kg) : ,35.00,2018-08- 25
Brinjal - Big (1 Kg) : ,15.00,2018-08- 25
Brinjal - Green (1 Kg) : ,15.00,2018-08- 25
Butter Beans (1 Kg) : ,60.00,2018-08- 25
Cabbage (1 Kg) : ,07.00,2018-08- 25
Capscicum - Red (1 Kg) :,150.00,2018-08- 25
Capscicum - Green (1 Kg) : ,15.00,2018-08- 25
Carrot (1 Kg) : ,20.00,2018-08- 25
Cauliflower (1 Piece) : ,15.00,2018-08- 25
Chow Chow (1 Kg) : ,35.00,2018-08- 25
Cluster Beans (1 Kg) : ,45.00,2018-08- 25
Coconut (Small) : ,25.00,2018-08- 25
Coconut (Big) : ,35.00,2018-08- 25
Cucumber (1 Kg) : ,30.00,2018-08- 25
Double Beans (1 Kg) : ,170.00,2018-08- 25
Drumstick (1 Kg) : ,24.00,2018-08- 25
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-08- 25
Garlic - Small (Country) (1 Kg) : ,110.00,2018-08- 25
Ginger (1 Kg) : ,60.00,2018-08- 25
Green Peas (1 Kg) : ,60.00,2018-08- 25
Green Chilli (1 Kg) : ,14.00,2018-08- 25
Karunai Kizhangu (1 Kg) : ,50.00,2018-08- 25
Kovakkai (1 Kg) : ,25.00,2018-08- 25
Ladies Fingers (1 Kg) : ,30.00,2018-08- 25
Mango - Raw (1 Kg) : ,30.00,2018-08- 25
Maravalli Kizhangu (1 Kg) : ,40.00,2018-08- 25
Noolkol (1 Kg) : ,25.00,2018-08- 25
Onion - Big (1 Kg) : ,17.00,2018-08- 25
Onion - Small (1 Kg) : ,40.00,2018-08- 25
Onion - White (1 Kg) : ,40.00,2018-08- 25
Peerkankkai (1 Kg) : ,40.00,2018-08- 25
Potato (1 Kg) : ,24.00,2018-08- 25
Potatoes - Baby (1 Kg) : ,55.00,2018-08- 25
Radish (1 Kg) : ,10.00,2018-08- 25
Senaikizhangu (1 Kg) : ,30.00,2018-08- 25
Seppankizhangu (1 Kg) : ,35.00,2018-08- 25
Snake Gourd (1 Kg) : ,20.00,2018-08- 25
Bottle Guard (1 Kg) : ,05.00,2018-08- 25
Tomato - Bangalore (1 Kg) : ,15.00,2018-08- 25
Tomato - Local (1 Kg) : ,12.00,2018-08- 25
Vazhai Poo (1 Piece) : ,20.00,2018-08- 25
Vazhai Thandu (1 Piece) : ,15.00,2018-08- 25
Yellow Pumpkin (1 Kg) : ,05.00,2018-08- 25
