 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-07- 11
Avarai (1 Kg) : ,20.00,2018-07- 11
Amla (1 Kg) : ,126.00,2018-07- 11
Baby corn (1 Kg) : ,79.00,2018-07- 11
Beans (1 Kg) : ,40.00,2018-07- 11
Beetroot (1 Kg) : ,28.00,2018-07- 11
Bittergourd (1 Kg) : ,40.00,2018-07- 11
Brinjal (1 Kg) : ,15.00,2018-07- 11
Brinjal - Big (1 Kg) : ,35.00,2018-07- 11
Brinjal - Green (1 Kg) : ,30.00,2018-07- 11
Butter Beans (1 Kg) : ,60.00,2018-07- 11
Cabbage (1 Kg) : ,08.00,2018-07- 11
Capscicum - Red (1 Kg) :,149.00,2018-07- 11
Capscicum - Green (1 Kg) : ,60.00,2018-07- 11
Carrot (1 Kg) : ,25.00,2018-07- 11
Cauliflower (1 Piece) : ,08.00,2018-07- 11
Chow Chow (1 Kg) : ,15.00,2018-07- 11
Cluster Beans (1 Kg) : ,45.00,2018-07- 11
Coconut (Small) : ,25.00,2018-07- 11
Coconut (Big) : ,35.00,2018-07- 11
Cucumber (1 Kg) : ,29.00,2018-07- 11
Double Beans (1 Kg) : ,170.00,2018-07- 11
Drumstick (1 Kg) : ,45.00,2018-07- 11
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-07- 11
Garlic - Small (Country) (1 Kg) : ,110.00,2018-07- 11
Ginger (1 Kg) : ,120.00,2018-07- 11
Green Peas (1 Kg) : ,60.00,2018-07- 11
Green Chilli (1 Kg) : ,50.00,2018-07- 11
Karunai Kizhangu (1 Kg) : ,49.00,2018-07- 11
Kovakkai (1 Kg) : ,25.00,2018-07- 11
Ladies Fingers (1 Kg) : ,15.00,2018-07- 11
Mango - Raw (1 Kg) : ,35.00,2018-07- 11
Maravalli Kizhangu (1 Kg) : ,39.00,2018-07- 11
Noolkol (1 Kg) : ,25.00,2018-07- 11
Onion - Big (1 Kg) : ,16.00,2018-07- 11
Onion - Small (1 Kg) : ,55.00,2018-07- 11
Onion - White (1 Kg) : ,40.00,2018-07- 11
Peerkankkai (1 Kg) : ,06.00,2018-07- 11
Potato (1 Kg) : ,21.00,2018-07- 11
Potatoes - Baby (1 Kg) : ,59.00,2018-07- 11
Radish (1 Kg) : ,13.00,2018-07- 11
Senaikizhangu (1 Kg) : ,30.00,2018-07- 11
Seppankizhangu (1 Kg) : ,35.00,2018-07- 11
Snake Gourd (1 Kg) : ,20.00,2018-07- 11
Bottle Guard (1 Kg) : ,05.00,2018-07- 11
Tomato - Bangalore (1 Kg) : ,25.00,2018-07- 11
Tomato - Local (1 Kg) : ,25.00,2018-07- 11
Vazhai Poo (1 Piece) : ,20.00,2018-07- 11
Vazhai Thandu (1 Piece) : ,15.00,2018-07- 11
Yellow Pumpkin (1 Kg) : ,05.00,2018-07- 11
