 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-08- 2
Avarai (1 Kg) : ,125.00,2018-08- 2
Amla (1 Kg) : ,45.00,2018-08- 2
Baby corn (1 Kg) : ,80.00,2018-08- 2
Beans (1 Kg) : ,40.00,2018-08- 2
Beetroot (1 Kg) : ,35.00,2018-08- 2
Bittergourd (1 Kg) : ,25.00,2018-08- 2
Brinjal (1 Kg) : ,30.00,2018-08- 2
Brinjal - Big (1 Kg) : ,15.00,2018-08- 2
Brinjal - Green (1 Kg) : ,15.00,2018-08- 2
Butter Beans (1 Kg) : ,60.00,2018-08- 2
Cabbage (1 Kg) : ,08.00,2018-08- 2
Capscicum - Red (1 Kg) :,150.00,2018-08- 2
Capscicum - Green (1 Kg) : ,60.00,2018-08- 2
Carrot (1 Kg) : ,45.00,2018-08- 2
Cauliflower (1 Piece) : ,15.00,2018-08- 2
Chow Chow (1 Kg) : ,40.00,2018-08- 2
Cluster Beans (1 Kg) : ,45.00,2018-08- 2
Coconut (Small) : ,25.00,2018-08- 2
Coconut (Big) : ,35.00,2018-08- 2
Cucumber (1 Kg) : ,30.00,2018-08- 2
Double Beans (1 Kg) : ,170.00,2018-08- 2
Drumstick (1 Kg) : ,20.00,2018-08- 2
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-08- 2
Garlic - Small (Country) (1 Kg) : ,110.00,2018-08- 2
Ginger (1 Kg) : ,120.00,2018-08- 2
Green Peas (1 Kg) : ,60.00,2018-08- 2
Green Chilli (1 Kg) : ,40.00,2018-08- 2
Karunai Kizhangu (1 Kg) : ,50.00,2018-08- 2
Kovakkai (1 Kg) : ,25.00,2018-08- 2
Ladies Fingers (1 Kg) : ,25.00,2018-08- 2
Mango - Raw (1 Kg) : ,30.00,2018-08- 2
Maravalli Kizhangu (1 Kg) : ,40.00,2018-08- 2
Noolkol (1 Kg) : ,25.00,2018-08- 2
Onion - Big (1 Kg) : ,16.00,2018-08- 2
Onion - Small (1 Kg) : ,55.00,2018-08- 2
Onion - White (1 Kg) : ,40.00,2018-08- 2
Peerkankkai (1 Kg) : ,40.00,2018-08- 2
Potato (1 Kg) : ,25.00,2018-08- 2
Potatoes - Baby (1 Kg) : ,55.00,2018-08- 2
Radish (1 Kg) : ,08.00,2018-08- 2
Senaikizhangu (1 Kg) : ,30.00,2018-08- 2
Seppankizhangu (1 Kg) : ,30.00,2018-08- 2
Snake Gourd (1 Kg) : ,20.00,2018-08- 2
Bottle Guard (1 Kg) : ,05.00,2018-08- 2
Tomato - Bangalore (1 Kg) : ,12.00,2018-08- 2
Tomato - Local (1 Kg) : ,15.00,2018-08- 2
Vazhai Poo (1 Piece) : ,20.00,2018-08- 2
Vazhai Thandu (1 Piece) : ,15.00,2018-08- 2
Yellow Pumpkin (1 Kg) : ,05.00,2018-08- 2
