 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-07- 10
Avarai (1 Kg) : ,20.00,2018-07- 10
Amla (1 Kg) : ,126.00,2018-07- 10
Baby corn (1 Kg) : ,79.00,2018-07- 10
Beans (1 Kg) : ,40.00,2018-07- 10
Beetroot (1 Kg) : ,28.00,2018-07- 10
Bittergourd (1 Kg) : ,40.00,2018-07- 10
Brinjal (1 Kg) : ,15.00,2018-07- 10
Brinjal - Big (1 Kg) : ,35.00,2018-07- 10
Brinjal - Green (1 Kg) : ,30.00,2018-07- 10
Butter Beans (1 Kg) : ,60.00,2018-07- 10
Cabbage (1 Kg) : ,08.00,2018-07- 10
Capscicum - Red (1 Kg) :,149.00,2018-07- 10
Capscicum - Green (1 Kg) : ,60.00,2018-07- 10
Carrot (1 Kg) : ,25.00,2018-07- 10
Cauliflower (1 Piece) : ,08.00,2018-07- 10
Chow Chow (1 Kg) : ,15.00,2018-07- 10
Cluster Beans (1 Kg) : ,45.00,2018-07- 10
Coconut (Small) : ,25.00,2018-07- 10
Coconut (Big) : ,35.00,2018-07- 10
Cucumber (1 Kg) : ,29.00,2018-07- 10
Double Beans (1 Kg) : ,170.00,2018-07- 10
Drumstick (1 Kg) : ,45.00,2018-07- 10
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-07- 10
Garlic - Small (Country) (1 Kg) : ,110.00,2018-07- 10
Ginger (1 Kg) : ,120.00,2018-07- 10
Green Peas (1 Kg) : ,60.00,2018-07- 10
Green Chilli (1 Kg) : ,50.00,2018-07- 10
Karunai Kizhangu (1 Kg) : ,49.00,2018-07- 10
Kovakkai (1 Kg) : ,25.00,2018-07- 10
Ladies Fingers (1 Kg) : ,15.00,2018-07- 10
Mango - Raw (1 Kg) : ,35.00,2018-07- 10
Maravalli Kizhangu (1 Kg) : ,39.00,2018-07- 10
Noolkol (1 Kg) : ,25.00,2018-07- 10
Onion - Big (1 Kg) : ,16.00,2018-07- 10
Onion - Small (1 Kg) : ,55.00,2018-07- 10
Onion - White (1 Kg) : ,40.00,2018-07- 10
Peerkankkai (1 Kg) : ,06.00,2018-07- 10
Potato (1 Kg) : ,21.00,2018-07- 10
Potatoes - Baby (1 Kg) : ,59.00,2018-07- 10
Radish (1 Kg) : ,13.00,2018-07- 10
Senaikizhangu (1 Kg) : ,30.00,2018-07- 10
Seppankizhangu (1 Kg) : ,35.00,2018-07- 10
Snake Gourd (1 Kg) : ,20.00,2018-07- 10
Bottle Guard (1 Kg) : ,05.00,2018-07- 10
Tomato - Bangalore (1 Kg) : ,25.00,2018-07- 10
Tomato - Local (1 Kg) : ,25.00,2018-07- 10
Vazhai Poo (1 Piece) : ,20.00,2018-07- 10
Vazhai Thandu (1 Piece) : ,15.00,2018-07- 10
Yellow Pumpkin (1 Kg) : ,05.00,2018-07- 10
