 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-08- 10
Avarai (1 Kg) : ,125.00,2018-08- 10
Amla (1 Kg) : ,45.00,2018-08- 10
Baby corn (1 Kg) : ,80.00,2018-08- 10
Beans (1 Kg) : ,40.00,2018-08- 10
Beetroot (1 Kg) : ,25.00,2018-08- 10
Bittergourd (1 Kg) : ,35.00,2018-08- 10
Brinjal (1 Kg) : ,25.00,2018-08- 10
Brinjal - Big (1 Kg) : ,15.00,2018-08- 10
Brinjal - Green (1 Kg) : ,15.00,2018-08- 10
Butter Beans (1 Kg) : ,60.00,2018-08- 10
Cabbage (1 Kg) : ,08.00,2018-08- 10
Capscicum - Red (1 Kg) :,150.00,2018-08- 10
Capscicum - Green (1 Kg) : ,65.00,2018-08- 10
Carrot (1 Kg) : ,35.00,2018-08- 10
Cauliflower (1 Piece) : ,15.00,2018-08- 10
Chow Chow (1 Kg) : ,40.00,2018-08- 10
Cluster Beans (1 Kg) : ,45.00,2018-08- 10
Coconut (Small) : ,25.00,2018-08- 10
Coconut (Big) : ,35.00,2018-08- 10
Cucumber (1 Kg) : ,30.00,2018-08- 10
Double Beans (1 Kg) : ,170.00,2018-08- 10
Drumstick (1 Kg) : ,18.00,2018-08- 10
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-08- 10
Garlic - Small (Country) (1 Kg) : ,110.00,2018-08- 10
Ginger (1 Kg) : ,120.00,2018-08- 10
Green Peas (1 Kg) : ,60.00,2018-08- 10
Green Chilli (1 Kg) : ,37.00,2018-08- 10
Karunai Kizhangu (1 Kg) : ,50.00,2018-08- 10
Kovakkai (1 Kg) : ,25.00,2018-08- 10
Ladies Fingers (1 Kg) : ,20.00,2018-08- 10
Mango - Raw (1 Kg) : ,30.00,2018-08- 10
Maravalli Kizhangu (1 Kg) : ,40.00,2018-08- 10
Noolkol (1 Kg) : ,25.00,2018-08- 10
Onion - Big (1 Kg) : ,17.00,2018-08- 10
Onion - Small (1 Kg) : ,50.00,2018-08- 10
Onion - White (1 Kg) : ,40.00,2018-08- 10
Peerkankkai (1 Kg) : ,40.00,2018-08- 10
Potato (1 Kg) : ,24.00,2018-08- 10
Potatoes - Baby (1 Kg) : ,55.00,2018-08- 10
Radish (1 Kg) : ,09.00,2018-08- 10
Senaikizhangu (1 Kg) : ,30.00,2018-08- 10
Seppankizhangu (1 Kg) : ,30.00,2018-08- 10
Snake Gourd (1 Kg) : ,25.00,2018-08- 10
Bottle Guard (1 Kg) : ,05.00,2018-08- 10
Tomato - Bangalore (1 Kg) : ,15.00,2018-08- 10
Tomato - Local (1 Kg) : ,15.00,2018-08- 10
Vazhai Poo (1 Piece) : ,20.00,2018-08- 10
Vazhai Thandu (1 Piece) : ,15.00,2018-08- 10
Yellow Pumpkin (1 Kg) : ,05.00,2018-08- 10
