 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-09- 17
Avarai (1 Kg) : ,35.00,2018-09- 17
Amla (1 Kg) : ,125.00,2018-09- 17
Baby corn (1 Kg) : ,80.00,2018-09- 17
Beans (1 Kg) : ,25.00,2018-09- 17
Beetroot (1 Kg) : ,12.00,2018-09- 17
Bittergourd (1 Kg) : ,30.00,2018-09- 17
Brinjal (1 Kg) : ,35.00,2018-09- 17
Brinjal - Big (1 Kg) : ,15.00,2018-09- 17
Brinjal - Green (1 Kg) : ,15.00,2018-09- 17
Butter Beans (1 Kg) : ,60.00,2018-09- 17
Cabbage (1 Kg) : ,10.00,2018-09- 17
Capscicum - Red (1 Kg) :,150.00,2018-09- 17
Capscicum - Green (1 Kg) : ,40.00,2018-09- 17
Carrot (1 Kg) : ,40.00,2018-09- 17
Cauliflower (1 Piece) : ,15.00,2018-09- 17
Chow Chow (1 Kg) : ,35.00,2018-09- 17
Cluster Beans (1 Kg) : ,45.00,2018-09- 17
Coconut (Small) : ,25.00,2018-09- 17
Coconut (Big) : ,35.00,2018-09- 17
Cucumber (1 Kg) : ,30.00,2018-09- 17
Double Beans (1 Kg) : ,170.00,2018-09- 17
Drumstick (1 Kg) : ,20.00,2018-09- 17
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-09- 17
Garlic - Small (Country) (1 Kg) : ,110.00,2018-09- 17
Ginger (1 Kg) : ,60.00,2018-09- 17
Green Peas (1 Kg) : ,60.00,2018-09- 17
Green Chilli (1 Kg) : ,25.00,2018-09- 17
Karunai Kizhangu (1 Kg) : ,50.00,2018-09- 17
Kovakkai (1 Kg) : ,25.00,2018-09- 17
Ladies Fingers (1 Kg) : ,15.00,2018-09- 17
Mango - Raw (1 Kg) : ,30.00,2018-09- 17
Maravalli Kizhangu (1 Kg) : ,40.00,2018-09- 17
Noolkol (1 Kg) : ,25.00,2018-09- 17
Onion - Big (1 Kg) : ,15.00,2018-09- 17
Onion - Small (1 Kg) : ,35.00,2018-09- 17
Onion - White (1 Kg) : ,40.00,2018-09- 17
Peerkankkai (1 Kg) : ,40.00,2018-09- 17
Potato (1 Kg) : ,25.00,2018-09- 17
Potatoes - Baby (1 Kg) : ,55.00,2018-09- 17
Radish (1 Kg) : ,06.00,2018-09- 17
Senaikizhangu (1 Kg) : ,30.00,2018-09- 17
Seppankizhangu (1 Kg) : ,35.00,2018-09- 17
Snake Gourd (1 Kg) : ,15.00,2018-09- 17
Bottle Guard (1 Kg) : ,05.00,2018-09- 17
Tomato - Bangalore (1 Kg) : ,12.00,2018-09- 17
Tomato - Local (1 Kg) : ,10.00,2018-09- 17
Vazhai Poo (1 Piece) : ,20.00,2018-09- 17
Vazhai Thandu (1 Piece) : ,15.00,2018-09- 17
Yellow Pumpkin (1 Kg) : ,05.00,2018-09- 17
