 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-08- 13
Avarai (1 Kg) : ,125.00,2018-08- 13
Amla (1 Kg) : ,45.00,2018-08- 13
Baby corn (1 Kg) : ,80.00,2018-08- 13
Beans (1 Kg) : ,22.00,2018-08- 13
Beetroot (1 Kg) : ,18.00,2018-08- 13
Bittergourd (1 Kg) : ,30.00,2018-08- 13
Brinjal (1 Kg) : ,30.00,2018-08- 13
Brinjal - Big (1 Kg) : ,15.00,2018-08- 13
Brinjal - Green (1 Kg) : ,15.00,2018-08- 13
Butter Beans (1 Kg) : ,60.00,2018-08- 13
Cabbage (1 Kg) : ,09.00,2018-08- 13
Capscicum - Red (1 Kg) :,150.00,2018-08- 13
Capscicum - Green (1 Kg) : ,70.00,2018-08- 13
Carrot (1 Kg) : ,45.00,2018-08- 13
Cauliflower (1 Piece) : ,15.00,2018-08- 13
Chow Chow (1 Kg) : ,40.00,2018-08- 13
Cluster Beans (1 Kg) : ,45.00,2018-08- 13
Coconut (Small) : ,25.00,2018-08- 13
Coconut (Big) : ,35.00,2018-08- 13
Cucumber (1 Kg) : ,30.00,2018-08- 13
Double Beans (1 Kg) : ,170.00,2018-08- 13
Drumstick (1 Kg) : ,25.00,2018-08- 13
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-08- 13
Garlic - Small (Country) (1 Kg) : ,110.00,2018-08- 13
Ginger (1 Kg) : ,120.00,2018-08- 13
Green Peas (1 Kg) : ,60.00,2018-08- 13
Green Chilli (1 Kg) : ,35.00,2018-08- 13
Karunai Kizhangu (1 Kg) : ,50.00,2018-08- 13
Kovakkai (1 Kg) : ,25.00,2018-08- 13
Ladies Fingers (1 Kg) : ,20.00,2018-08- 13
Mango - Raw (1 Kg) : ,30.00,2018-08- 13
Maravalli Kizhangu (1 Kg) : ,40.00,2018-08- 13
Noolkol (1 Kg) : ,25.00,2018-08- 13
Onion - Big (1 Kg) : ,17.00,2018-08- 13
Onion - Small (1 Kg) : ,45.00,2018-08- 13
Onion - White (1 Kg) : ,40.00,2018-08- 13
Peerkankkai (1 Kg) : ,40.00,2018-08- 13
Potato (1 Kg) : ,24.00,2018-08- 13
Potatoes - Baby (1 Kg) : ,55.00,2018-08- 13
Radish (1 Kg) : ,10.00,2018-08- 13
Senaikizhangu (1 Kg) : ,30.00,2018-08- 13
Seppankizhangu (1 Kg) : ,30.00,2018-08- 13
Snake Gourd (1 Kg) : ,18.00,2018-08- 13
Bottle Guard (1 Kg) : ,05.00,2018-08- 13
Tomato - Bangalore (1 Kg) : ,20.00,2018-08- 13
Tomato - Local (1 Kg) : ,15.00,2018-08- 13
Vazhai Poo (1 Piece) : ,20.00,2018-08- 13
Vazhai Thandu (1 Piece) : ,15.00,2018-08- 13
Yellow Pumpkin (1 Kg) : ,05.00,2018-08- 13
