 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-10- 11
Avarai (1 Kg) : ,35.00,2018-10- 11
Amla (1 Kg) : ,125.00,2018-10- 11
Baby corn (1 Kg) : ,80.00,2018-10- 11
Beans (1 Kg) : ,30.00,2018-10- 11
Beetroot (1 Kg) : ,10.00,2018-10- 11
Bittergourd (1 Kg) : ,20.00,2018-10- 11
Brinjal (1 Kg) : ,30.00,2018-10- 11
Brinjal - Big (1 Kg) : ,15.00,2018-10- 11
Brinjal - Green (1 Kg) : ,15.00,2018-10- 11
Butter Beans (1 Kg) : ,60.00,2018-10- 11
Cabbage (1 Kg) : ,8.00,2018-10- 11
Capscicum - Red (1 Kg) :,150.00,2018-10- 11
Capscicum - Green (1 Kg) : ,25.00,2018-10- 11
Carrot (1 Kg) : ,30.00,2018-10- 11
Cauliflower (1 Piece) : ,50.00,2018-10- 11
Chow Chow (1 Kg) : ,35.00,2018-10- 11
Cluster Beans (1 Kg) : ,45.00,2018-10- 11
Coconut (Small) : ,25.00,2018-10- 11
Coconut (Big) : ,35.00,2018-10- 11
Cucumber (1 Kg) : ,30.00,2018-10- 11
Double Beans (1 Kg) : ,170.00,2018-10- 11
Drumstick (1 Kg) : ,35.00,2018-10- 11
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-10- 11
Garlic - Small (Country) (1 Kg) : ,180.00,2018-10- 11
Ginger (1 Kg) : ,72.00,2018-10- 11
Green Peas (1 Kg) : ,60.00,2018-10- 11
Green Chilli (1 Kg) : ,22.00,2018-10- 11
Karunai Kizhangu (1 Kg) : ,50.00,2018-10- 11
Kovakkai (1 Kg) : ,25.00,2018-10- 11
Ladies Fingers (1 Kg) : ,15.00,2018-10- 11
Mango - Raw (1 Kg) : ,33.00,2018-10- 11
Maravalli Kizhangu (1 Kg) : ,40.00,2018-10- 11
Noolkol (1 Kg) : ,25.00,2018-10- 11
Onion - Big (1 Kg) : ,12.00,2018-10- 11
Onion - Small (1 Kg) : ,40.00,2018-10- 11
Onion - White (1 Kg) : ,40.00,2018-10- 11
Peerkankkai (1 Kg) : ,40.00,2018-10- 11
Potato (1 Kg) : ,25.00,2018-10- 11
Potatoes - Baby (1 Kg) : ,55.00,2018-10- 11
Radish (1 Kg) : ,15.00,2018-10- 11
Senaikizhangu (1 Kg) : ,30.00,2018-10- 11
Seppankizhangu (1 Kg) : ,35.00,2018-10- 11
Snake Gourd (1 Kg) : ,12.00,2018-10- 11
Bottle Guard (1 Kg) : ,05.00,2018-10- 11
Tomato - Bangalore (1 Kg) : ,12.00,2018-10- 11
Tomato - Local (1 Kg) : ,14.00,2018-10- 11
Vazhai Poo (1 Piece) : ,20.00,2018-10- 11
Vazhai Thandu (1 Piece) : ,15.00,2018-10- 11
Yellow Pumpkin (1 Kg) : ,05.40,2018-10- 11
